,0,1,2,3,4,5,6,7,8,9,10,11
1,10.0,0,48,1,4.80,3,2,,v New Zealand,Southampton,14 Jun 2015,ODI # 3656
2,10.0,0,49,1,4.90,3,1,,v New Zealand,Nottingham,17 Jun 2015,ODI # 3657
3,10.0,0,60,0,6.00,3,1,,v New Zealand,Chester-le-Street,20 Jun 2015,ODI # 3659
4,10.0,0,72,1,7.20,2,1,,v Australia,Southampton,3 Sep 2015,ODI # 3680
5,9.0,0,65,0,7.22,2,1,,v Australia,Leeds,11 Sep 2015,ODI # 3683
6,5.0,1,25,1,5.00,3,2,,v Australia,Manchester,13 Sep 2015,ODI # 3684
7,10.0,0,57,1,5.70,2,1,,v Pakistan,Southampton,24 Aug 2016,ODI # 3770
8,10.0,1,46,3,4.60,1,1,,v Pakistan,Lord's,27 Aug 2016,ODI # 3771
9,10.0,0,75,1,7.50,1,2,,v Pakistan,Nottingham,30 Aug 2016,ODI # 3773
10,10.0,0,56,2,5.60,3,2,,v Pakistan,Cardiff,4 Sep 2016,ODI # 3777
11,6.0,0,24,1,4.00,2,1,,v Ireland,Bristol,5 May 2017,ODI # 3864
12,8.1,0,38,2,4.65,1,2,,v Ireland,Lord's,7 May 2017,ODI # 3865
13,6.0,0,49,1,8.16,2,2,,v South Africa,Leeds,24 May 2017,ODI # 3872
14,10.0,0,47,0,4.70,1,2,,v South Africa,Southampton,27 May 2017,ODI # 3873
15,10.0,1,58,0,5.80,2,1,,v Bangladesh,The Oval,1 Jun 2017,ODI # 3875
16,9.0,0,32,1,3.55,2,2,,v New Zealand,Cardiff,6 Jun 2017,ODI # 3880
17,10.0,1,33,4,3.30,2,1,,v Australia,Birmingham,10 Jun 2017,ODI # 3885
18,8.0,1,37,0,4.62,1,2,,v Pakistan,Cardiff,14 Jun 2017,ODI # 3889
19,8.0,1,32,1,4.00,1,1,,v Australia,The Oval,13 Jun 2018,ODI # 4009
20,9.0,1,57,1,6.33,2,2,,v Australia,Cardiff,16 Jun 2018,ODI # 4010
21,7.0,0,38,0,5.42,1,2,,v Australia,Nottingham,19 Jun 2018,ODI # 4011
22,9.0,1,49,2,5.44,1,1,,v Australia,Chester-le-Street,21 Jun 2018,ODI # 4012
23,6.0,0,55,0,9.16,1,2,,v India,Nottingham,12 Jul 2018,ODI # 4014
24,5.0,0,31,1,6.20,1,2,,v India,Lord's,14 Jul 2018,ODI # 4016
25,10.0,2,30,1,3.00,1,1,,v India,Leeds,17 Jul 2018,ODI # 4018
26,10.0,0,71,2,7.10,2,1,,v Pakistan,Nottingham,17 May 2019,ODI # 4138
27,10.0,0,53,2,5.30,4,1,,v Pakistan,Nottingham,3 Jun 2019,ODI # 4148
28,8.0,0,52,2,6.50,4,2,,v Bangladesh,Cardiff,8 Jun 2019,ODI # 4153
29,6.4,0,18,3,2.70,4,1,,v West Indies,Southampton,14 Jun 2019,ODI # 4158
30,10.0,1,40,2,4.00,4,2,,v Afghanistan,Manchester,18 Jun 2019,ODI # 4163
31,8.0,0,40,3,5.00,3,1,,v Sri Lanka,Leeds,21 Jun 2019,ODI # 4168
32,9.0,0,59,1,6.55,3,1,,v Australia,Lord's,25 Jun 2019,ODI # 4173
33,10.0,0,73,0,7.30,4,2,,v India,Birmingham,30 Jun 2019,ODI # 4179
34,9.0,0,34,3,3.77,4,2,,v New Zealand,Chester-le-Street,3 Jul 2019,ODI # 4183
35,9.0,0,45,1,5.00,4,1,,v Australia,Birmingham,11 Jul 2019,ODI # 4191
36,10.0,1,49,1,4.90,4,1,,v New Zealand,Lord's,14 Jul 2019,ODI # 4192
37,10.0,0,54,3,5.40,3,1,,v Australia,Manchester,11 Sep 2020,ODI # 4259
38,9.0,1,40,0,4.44,3,2,,v Australia,Manchester,16 Sep 2020,ODI # 4261
39,7.0,0,19,0,2.71,3,1,,v Sri Lanka,Chester-le-Street,29 Jun 2021,ODI # 4296
40,10.0,1,35,0,3.50,4,1,,v Sri Lanka,The Oval,1 Jul 2021,ODI # 4297
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,5.0,0,25,1,5.00,1,1,,v Ireland,Dublin (Malahide),8 May 2015,ODI # 3650
2,10.0,0,49,1,4.90,2,1,,v Australia,Melbourne,14 Jan 2018,ODI # 3951
3,9.0,0,55,0,6.11,1,1,,v Australia,Brisbane,19 Jan 2018,ODI # 3958
4,10.0,1,46,2,4.60,1,2,,v Australia,Sydney,21 Jan 2018,ODI # 3960
5,9.0,0,58,1,6.44,2,2,,v Australia,Adelaide,26 Jan 2018,ODI # 3966
6,6.0,0,36,0,6.00,2,2,,v New Zealand,Wellington,3 Mar 2018,ODI # 3982
7,8.0,0,65,1,8.12,2,2,,v New Zealand,Dunedin,7 Mar 2018,ODI # 3989
8,8.0,0,26,1,3.25,2,1,,v New Zealand,Christchurch,10 Mar 2018,ODI # 3992
9,10.0,0,71,1,7.10,1,1,,v Scotland,Edinburgh,10 Jun 2018,ODI # 4008
10,8.0,0,55,0,6.87,1,1,,v Sri Lanka,Colombo (RPS),23 Oct 2018,ODI # 4058
11,7.0,0,49,0,7.00,2,1,,v West Indies,Bridgetown,20 Feb 2019,ODI # 4096
12,10.0,0,38,1,3.80,1,1,,v West Indies,Bridgetown,22 Feb 2019,ODI # 4097
13,TDNB,-,-,-,-,-,-,,v West Indies,St George's,25 Feb 2019,ODI # 4098
14,10.0,0,60,4,6.00,2,2,,v West Indies,St George's,27 Feb 2019,ODI # 4099
15,6.0,0,55,2,9.16,2,2,,v West Indies,Gros Islet,2 Mar 2019,ODI # 4103
16,10.0,1,75,2,7.50,1,1,,v India,Pune,23 Mar 2021,ODI # 4281
17,7.0,1,34,3,4.85,3,1,,v India,Pune,28 Mar 2021,ODI # 4284
18,8.0,0,34,2,4.25,3,1,,v Bangladesh,Mirpur,1 Mar 2023,ODI # 4525
19,4.0,0,14,0,3.50,3,2,,v Bangladesh,Mirpur,3 Mar 2023,ODI # 4528
20,5.0,0,55,0,11.00,3,2,,v New Zealand,Ahmedabad,5 Oct 2023,ODI # 4658
21,10.0,0,29,1,2.90,4,2,,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
