,0,1,2,3,4,5,6,7,8,9,10,11,12,13
9,DNB,-,-,-,-,-,-,-,2,,v Netherlands,The Hague,7 Jul 2010,ODI # 3017
10,4,13,15,0,0,26.66,8,lbw,1,,v Scotland,Rotterdam,9 Jul 2010,ODI # 3019
11,6*,20,13,0,0,46.15,7,not out,2,,v Netherlands,Rotterdam,10 Jul 2010,ODI # 3024
12,DNB,-,-,-,-,-,-,-,2,,v Scotland,Ayr,16 Aug 2010,ODI # 3033
13,2,9,8,0,0,25.00,7,caught,1,,v Scotland,Ayr,17 Aug 2010,ODI # 3035
14,0,-,4,0,0,0.00,5,bowled,2,,v Kenya,Nairobi (Gym),7 Oct 2010,ODI # 3052
15,23*,-,18,4,1,127.77,7,not out,2,,v Kenya,Nairobi (Gym),9 Oct 2010,ODI # 3053
16,60,-,69,3,3,86.95,7,caught,1,,v Kenya,Nairobi (Gym),11 Oct 2010,ODI # 3055
17,58,70,59,3,2,98.30,5,caught,2,,v Canada,King City (NW),7 Aug 2011,ODI # 3173
18,47,38,31,1,4,151.61,5,caught,1,,v Canada,Toronto,9 Aug 2011,ODI # 3174
19,37,75,56,0,2,66.07,5,run out,1,,v Pakistan,Sharjah,10 Feb 2012,ODI # 3236
20,41,-,63,2,1,65.07,6,caught,1,,v Netherlands,Sharjah,29 Mar 2012,ODI # 3270
21,3,-,3,0,0,100.00,6,lbw,2,,v Netherlands,Sharjah,31 Mar 2012,ODI # 3271
22,2,-,17,0,0,11.76,6,lbw,2,,v Ireland,Dublin,5 Jul 2012,ODI # 3282
23,46,78,60,3,4,76.66,6,bowled,2,,v Australia,Sharjah,25 Aug 2012,ODI # 3297
24,DNB,-,-,-,-,-,-,-,2,,v Scotland,Sharjah,6 Mar 2013,ODI # 3341
25,51,-,44,5,0,115.90,5,caught,2,,v Scotland,Sharjah,8 Mar 2013,ODI # 3342
26,DNB,-,-,-,-,-,-,-,2,,v Kenya,Sharjah,2 Oct 2013,ODI # 3417
27,46*,-,42,3,2,109.52,4,not out,2,,v Kenya,Sharjah,4 Oct 2013,ODI # 3418
28,15,19,13,3,0,115.38,5,lbw,2,,v Pakistan,Fatullah,27 Feb 2014,ODI # 3475
29,7,15,15,0,0,46.66,6,caught,1,,v Bangladesh,Fatullah,1 Mar 2014,ODI # 3478
30,37,66,43,3,1,86.04,6,lbw,2,,v Sri Lanka,Mirpur,3 Mar 2014,ODI # 3481
31,6,24,20,0,0,30.00,6,caught,1,,v India,Mirpur,5 Mar 2014,ODI # 3483
32,14*,-,17,3,0,82.35,6,not out,2,,v Hong Kong,Kuala Lumpur,1 May 2014,ODI # 3487
33,77,-,57,8,3,135.08,6,caught,1,,v U.A.E.,Kuala Lumpur,2 May 2014,ODI # 3488
34,54,36,33,3,3,163.63,6,caught,1,,v Zimbabwe,Bulawayo,18 Jul 2014,ODI # 3503
35,22,42,37,2,1,59.45,6,caught,1,,v Zimbabwe,Bulawayo,20 Jul 2014,ODI # 3504
36,42,48,40,1,2,105.00,6,run out,2,,v Zimbabwe,Bulawayo,22 Jul 2014,ODI # 3505
37,37,61,31,1,2,119.35,6,caught,1,,v Zimbabwe,Bulawayo,24 Jul 2014,ODI # 3506
38,28,-,30,1,1,93.33,4,caught,1,,v U.A.E.,ICCA Dubai,28 Nov 2014,ODI # 3556
39,15,-,15,2,0,100.00,4,caught,1,,v U.A.E.,ICCA Dubai,30 Nov 2014,ODI # 3558
40,26,-,41,1,0,63.41,5,lbw,2,,v U.A.E.,ICCA Dubai,2 Dec 2014,ODI # 3560
41,23,-,43,0,0,53.48,5,caught,2,,v U.A.E.,ICCA Dubai,4 Dec 2014,ODI # 3562
42,DNB,-,-,-,-,-,-,-,2,,v Scotland,ICCA Dubai,8 Jan 2015,ODI # 3572
43,2,-,9,0,0,22.22,6,caught,1,,v Ireland,Dubai (DSC),10 Jan 2015,ODI # 3573
44,0,-,3,0,0,0.00,6,lbw,2,,v Scotland,Abu Dhabi,14 Jan 2015,ODI # 3576
45,9,-,21,0,0,42.85,5,caught,1,,v Ireland,Dubai (DSC),17 Jan 2015,ODI # 3581
46,44,65,43,5,0,102.32,6,caught,2,,v Bangladesh,Canberra,18 Feb 2015,ODI # 3605
47,21,34,27,2,1,77.77,5,bowled,1,,v Sri Lanka,Dunedin,22 Feb 2015,ODI # 3609
48,1,10,3,0,0,33.33,5,lbw,2,,v Scotland,Dunedin,26 Feb 2015,ODI # 3614
49,2,20,10,0,0,20.00,6,caught,2,,v Australia,Perth,4 Mar 2015,ODI # 3623
50,6,20,15,0,0,40.00,6,caught,1,,v New Zealand,Napier,8 Mar 2015,ODI # 3628
51,16,19,17,1,1,94.11,7,caught,1,,v England,Sydney,13 Mar 2015,ODI # 3635
52,0,4,1,0,0,0.00,6,caught,1,,v Zimbabwe,Bulawayo,16 Oct 2015,ODI # 3693
53,116,155,121,3,6,95.86,3,caught,1,,v Zimbabwe,Bulawayo,18 Oct 2015,ODI # 3694
54,42,73,54,2,0,77.77,3,run out,1,,v Zimbabwe,Bulawayo,20 Oct 2015,ODI # 3696
55,12,26,16,0,1,75.00,3,caught,2,,v Zimbabwe,Bulawayo,22 Oct 2015,ODI # 3697
56,53,101,70,3,0,75.71,3,caught,1,,v Zimbabwe,Bulawayo,24 Oct 2015,ODI # 3699
57,17,-,18,2,1,94.44,3,caught,1,,v Zimbabwe,Sharjah,25 Dec 2015,ODI # 3713
58,33,-,36,4,0,91.66,3,run out,2,,v Zimbabwe,Sharjah,29 Dec 2015,ODI # 3716
59,0,-,1,0,0,0.00,3,caught,2,,v Zimbabwe,Sharjah,2 Jan 2016,ODI # 3719
60,11,-,19,1,0,57.89,5,bowled,2,,v Zimbabwe,Sharjah,4 Jan 2016,ODI # 3720
61,26,-,33,1,1,78.78,5,lbw,2,,v Zimbabwe,Sharjah,6 Jan 2016,ODI # 3722
62,DNB,-,-,-,-,-,-,-,1,,v Scotland,Edinburgh,4 Jul 2016,ODI # 3759
63,14*,-,14,1,0,100.00,7,not out,1,,v Scotland,Edinburgh,6 Jul 2016,ODI # 3760
64,5,-,10,0,0,50.00,7,lbw,1,,v Ireland,Belfast,12 Jul 2016,ODI # 3761
65,40,-,41,4,0,97.56,7,caught,1,,v Ireland,Belfast,14 Jul 2016,ODI # 3762
66,50,-,67,5,1,74.62,7,caught,1,,v Ireland,Belfast,17 Jul 2016,ODI # 3763
67,25,-,33,1,1,75.75,6,bowled,2,,v Ireland,Belfast,19 Jul 2016,ODI # 3764
68,30,36,24,3,0,125.00,5,caught,2,,v Bangladesh,Mirpur,25 Sep 2016,ODI # 3781
69,49,100,61,3,2,80.32,6,lbw,2,,v Bangladesh,Mirpur,28 Sep 2016,ODI # 3783
70,3,13,10,0,0,30.00,7,caught,2,,v Bangladesh,Mirpur,1 Oct 2016,ODI # 3786
71,6,13,12,0,0,50.00,6,caught,1,,v Zimbabwe,Harare,16 Feb 2017,ODI # 3835
72,33,52,33,1,1,100.00,5,caught,1,,v Zimbabwe,Harare,19 Feb 2017,ODI # 3837
73,11,16,8,0,1,137.50,7,bowled,2,,v Zimbabwe,Harare,21 Feb 2017,ODI # 3838
74,17,37,31,1,0,54.83,8,caught,1,,v Zimbabwe,Harare,24 Feb 2017,ODI # 3840
75,48,52,40,4,1,120.00,7,caught,1,,v Zimbabwe,Harare,26 Feb 2017,ODI # 3842
76,34*,-,19,3,1,178.94,7,not out,1,,v Ireland,Greater Noida,15 Mar 2017,ODI # 3850
77,14,17,10,1,1,140.00,6,caught,1,,v Ireland,Greater Noida,17 Mar 2017,ODI # 3851
78,13,25,16,1,0,81.25,6,run out,1,,v Ireland,Greater Noida,19 Mar 2017,ODI # 3852
79,41,85,64,3,0,64.06,7,caught,1,,v Ireland,Greater Noida,22 Mar 2017,ODI # 3853
