,0,1,2,3,4,5,6,7,8,9,10,11,12,13
4,DNB,-,-,-,-,-,-,-,2,,v Kenya,Sharjah,4 Oct 2013,ODI # 3418
5,9,28,23,1,0,39.13,3,lbw,1,,v India,Mirpur,5 Mar 2014,ODI # 3483
6,23,-,41,3,0,56.09,3,caught,2,,v Hong Kong,Kuala Lumpur,1 May 2014,ODI # 3487
7,7,-,13,0,0,53.84,3,lbw,1,,v U.A.E.,Kuala Lumpur,2 May 2014,ODI # 3488
8,22,68,32,2,0,68.75,3,bowled,1,,v Zimbabwe,Bulawayo,20 Jul 2014,ODI # 3504
9,100*,-,123,8,1,81.30,4,not out,1,,v Scotland,Edinburgh,4 Jul 2016,ODI # 3759
10,26,-,31,1,0,83.87,4,caught,1,,v Scotland,Edinburgh,6 Jul 2016,ODI # 3760
11,14,-,26,0,0,53.84,3,lbw,1,,v Ireland,Belfast,12 Jul 2016,ODI # 3761
12,16,-,28,2,0,57.14,3,caught,1,,v Ireland,Belfast,14 Jul 2016,ODI # 3762
13,48,-,70,4,0,68.57,3,caught,1,,v Ireland,Belfast,17 Jul 2016,ODI # 3763
14,30,-,56,2,0,53.57,3,lbw,2,,v Ireland,Belfast,19 Jul 2016,ODI # 3764
15,71,134,93,2,3,76.34,3,stumped,2,,v Bangladesh,Mirpur,25 Sep 2016,ODI # 3781
16,0,2,2,0,0,0.00,3,lbw,2,,v Bangladesh,Mirpur,28 Sep 2016,ODI # 3783
17,36,102,73,1,0,49.31,3,caught,2,,v Bangladesh,Mirpur,1 Oct 2016,ODI # 3786
18,31,85,56,3,0,55.35,3,caught,1,,v Zimbabwe,Harare,16 Feb 2017,ODI # 3835
19,53,105,66,3,0,80.30,3,lbw,1,,v Zimbabwe,Harare,19 Feb 2017,ODI # 3837
20,10,31,24,0,0,41.66,3,caught,2,,v Zimbabwe,Harare,21 Feb 2017,ODI # 3838
21,1,9,8,0,0,12.50,3,bowled,1,,v Zimbabwe,Harare,24 Feb 2017,ODI # 3840
22,50,120,79,1,0,63.29,4,run out,1,,v Zimbabwe,Harare,26 Feb 2017,ODI # 3842
23,78,-,92,4,3,84.78,3,caught,1,,v Ireland,Greater Noida,15 Mar 2017,ODI # 3850
24,68,73,70,5,2,97.14,3,caught,1,,v Ireland,Greater Noida,17 Mar 2017,ODI # 3851
25,8,33,18,1,0,44.44,3,bowled,1,,v Ireland,Greater Noida,19 Mar 2017,ODI # 3852
26,0,10,4,0,0,0.00,3,caught,1,,v Ireland,Greater Noida,22 Mar 2017,ODI # 3853
27,108*,164,128,10,1,84.37,3,not out,2,,v Ireland,Greater Noida,24 Mar 2017,ODI # 3854
28,17,-,51,1,0,33.33,3,caught,1,,v West Indies,Gros Islet,9 Jun 2017,ODI # 3884
29,1,-,6,0,0,16.66,3,caught,1,,v West Indies,Gros Islet,11 Jun 2017,ODI # 3887
30,TDNB,-,-,-,-,-,-,-,-,,v West Indies,Gros Islet,14 Jun 2017,ODI # 3890
31,50,-,75,3,1,66.66,3,caught,1,,v Ireland,Sharjah,5 Dec 2017,ODI # 3935
32,32,-,43,2,0,74.41,3,stumped,2,,v Ireland,Sharjah,7 Dec 2017,ODI # 3937
33,44,-,66,3,1,66.66,3,caught,1,,v Ireland,Sharjah,10 Dec 2017,ODI # 3940
34,114,-,110,8,4,103.63,3,caught,1,,v Zimbabwe,Sharjah,9 Feb 2018,ODI # 3972
35,43,-,61,7,0,70.49,3,caught,2,,v Zimbabwe,Sharjah,11 Feb 2018,ODI # 3974
36,56,-,52,9,1,107.69,3,lbw,2,,v Zimbabwe,Sharjah,13 Feb 2018,ODI # 3975
37,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Sharjah,16 Feb 2018,ODI # 3977
38,59,-,75,5,0,78.66,3,caught,1,,v Zimbabwe,Sharjah,19 Feb 2018,ODI # 3979
39,7,21,14,0,0,50.00,3,caught,1,,v Scotland,Bulawayo,4 Mar 2018,ODI # 3983
40,69,112,91,5,1,75.82,3,lbw,2,,v Zimbabwe,Bulawayo,6 Mar 2018,ODI # 3988
41,11,40,29,1,0,37.93,3,bowled,2,,v Hong Kong,Bulawayo,8 Mar 2018,ODI # 3990
42,68,148,109,5,1,62.38,3,caught,2,,v West Indies,Harare,15 Mar 2018,ODI # 3997
43,16,41,20,2,0,80.00,3,bowled,2,,v U.A.E.,Harare,20 Mar 2018,ODI # 4003
44,12,36,23,1,0,52.17,3,caught,2,,v Ireland,Harare,23 Mar 2018,ODI # 4006
45,51,-,78,4,0,65.38,3,stumped,2,,v West Indies,Harare,25 Mar 2018,ODI # 4007
46,29,50,29,4,0,100.00,4,caught,1,,v Ireland,Belfast,27 Aug 2018,ODI # 4032
47,32,106,69,2,0,46.37,4,stumped,1,,v Ireland,Belfast,29 Aug 2018,ODI # 4033
48,33,37,35,5,0,94.28,3,caught,2,,v Ireland,Belfast,31 Aug 2018,ODI # 4035
49,72,-,90,5,0,80.00,3,caught,1,,v Sri Lanka,Abu Dhabi,17 Sep 2018,ODI # 4038
50,10,-,17,1,0,58.82,3,bowled,1,,v Bangladesh,Abu Dhabi,20 Sep 2018,ODI # 4041
51,36,-,51,2,0,70.58,3,caught,1,,v Pakistan,Abu Dhabi,21 Sep 2018,ODI # 4043
52,1,-,9,0,0,11.11,3,run out,2,,v Bangladesh,Abu Dhabi,23 Sep 2018,ODI # 4045
53,3,-,4,0,0,75.00,3,bowled,1,,v India,Dubai (DSC),25 Sep 2018,ODI # 4046
