,0,1,2,3,4,5,6,7,8,9,10,11,12,13
201,29,40,29,3,1,100.00,3,caught,2,,v New Zealand,Pune,25 Oct 2017,ODI # 3931
202,113,166,106,9,1,106.60,3,caught,1,,v New Zealand,Kanpur,29 Oct 2017,ODI # 3932
203,112,164,119,10,0,94.11,3,caught,2,,v South Africa,Durban,1 Feb 2018,ODI # 3969
204,46*,64,50,4,1,92.00,3,not out,2,,v South Africa,Centurion,4 Feb 2018,ODI # 3970
205,160*,220,159,12,2,100.62,3,not out,1,,v South Africa,Cape Town,7 Feb 2018,ODI # 3971
206,75,119,83,7,1,90.36,3,caught,1,,v South Africa,Johannesburg,10 Feb 2018,ODI # 3973
207,36,76,54,2,0,66.66,3,run out,1,,v South Africa,Gqeberha,13 Feb 2018,ODI # 3976
208,129*,123,96,19,2,134.37,3,not out,2,,v South Africa,Centurion,16 Feb 2018,ODI # 3978
209,75,-,82,7,0,91.46,3,stumped,2,,v England,Nottingham,12 Jul 2018,ODI # 4014
210,45,-,56,2,0,80.35,3,lbw,2,,v England,Lord's,14 Jul 2018,ODI # 4016
211,71,98,72,8,0,98.61,3,bowled,1,,v England,Leeds,17 Jul 2018,ODI # 4018
212,140,-,107,21,2,130.84,3,stumped,2,,v West Indies,Guwahati,21 Oct 2018,ODI # 4056
213,157*,217,129,13,4,121.70,3,not out,1,,v West Indies,Visakhapatnam,24 Oct 2018,ODI # 4059
214,107,-,119,10,1,89.91,3,bowled,2,,v West Indies,Pune,27 Oct 2018,ODI # 4062
215,16,-,17,2,0,94.11,3,caught,1,,v West Indies,Brabourne,29 Oct 2018,ODI # 4063
216,33*,57,29,6,0,113.79,3,not out,2,,v West Indies,Thiruvananthapuram,1 Nov 2018,ODI # 4064
217,3,10,8,0,0,37.50,3,caught,2,,v Australia,Sydney,12 Jan 2019,ODI # 4077
218,104,150,112,5,2,92.85,3,caught,2,,v Australia,Adelaide,15 Jan 2019,ODI # 4078
219,46,-,62,3,0,74.19,3,caught,2,,v Australia,Melbourne,18 Jan 2019,ODI # 4079
220,45,59,59,3,0,76.27,3,caught,2,,v New Zealand,Napier,23 Jan 2019,ODI # 4082
221,43,59,45,5,0,95.55,3,caught,1,,v New Zealand,Mount Maunganui,26 Jan 2019,ODI # 4085
222,60,94,74,6,1,81.08,3,caught,2,,v New Zealand,Mount Maunganui,28 Jan 2019,ODI # 4088
223,44,-,45,6,1,97.77,3,lbw,2,,v Australia,Hyderabad,2 Mar 2019,ODI # 4102
224,116,-,120,10,0,96.66,3,caught,1,,v Australia,Nagpur,5 Mar 2019,ODI # 4106
225,123,-,95,16,1,129.47,3,bowled,2,,v Australia,Ranchi,8 Mar 2019,ODI # 4109
226,7,-,6,1,0,116.66,4,caught,1,,v Australia,Mohali,10 Mar 2019,ODI # 4111
227,20,-,22,2,0,90.90,3,caught,2,,v Australia,Delhi,13 Mar 2019,ODI # 4113
228,18,44,34,1,0,52.94,3,caught,2,,v South Africa,Southampton,5 Jun 2019,ODI # 4150
229,82,128,77,4,2,106.49,3,caught,1,,v Australia,The Oval,9 Jun 2019,ODI # 4155
230,77,105,65,7,0,118.46,3,caught,1,,v Pakistan,Manchester,16 Jun 2019,ODI # 4161
231,67,105,63,5,0,106.34,3,caught,1,,v Afghanistan,Southampton,22 Jun 2019,ODI # 4169
232,72,146,82,8,0,87.80,3,caught,1,,v West Indies,Manchester,27 Jun 2019,ODI # 4175
233,66,103,76,7,0,86.84,3,caught,2,,v England,Birmingham,30 Jun 2019,ODI # 4179
234,26,45,27,3,0,96.29,3,caught,1,,v Bangladesh,Birmingham,2 Jul 2019,ODI # 4182
235,34*,61,41,3,0,82.92,3,not out,2,,v Sri Lanka,Leeds,6 Jul 2019,ODI # 4187
236,1,8,6,0,0,16.66,3,lbw,2,,v New Zealand,Manchester,9 Jul 2019,ODI # 4190
237,TDNB,-,-,-,-,-,-,-,-,,v West Indies,Providence,8 Aug 2019,ODI # 4196
238,120,179,125,14,1,96.00,3,caught,1,,v West Indies,Port of Spain,11 Aug 2019,ODI # 4197
239,114*,127,99,14,0,115.15,3,not out,2,,v West Indies,Port of Spain,14 Aug 2019,ODI # 4199
240,4,-,4,1,0,100.00,3,bowled,1,,v West Indies,Chennai,15 Dec 2019,ODI # 4221
241,0,-,1,0,0,0.00,3,caught,1,,v West Indies,Visakhapatnam,18 Dec 2019,ODI # 4222
242,85,-,81,9,0,104.93,3,bowled,2,,v West Indies,Cuttack,22 Dec 2019,ODI # 4223
243,16,-,14,0,1,114.28,4,caught,1,,v Australia,Wankhede,14 Jan 2020,ODI # 4231
244,78,-,76,6,0,102.63,3,caught,1,,v Australia,Rajkot,17 Jan 2020,ODI # 4232
245,89,-,91,8,0,97.80,3,bowled,2,,v Australia,Bengaluru,19 Jan 2020,ODI # 4233
246,51,88,63,6,0,80.95,3,bowled,1,,v New Zealand,Hamilton,5 Feb 2020,ODI # 4235
247,15,31,25,1,0,60.00,3,bowled,2,,v New Zealand,Auckland,8 Feb 2020,ODI # 4239
248,9,20,12,0,1,75.00,3,caught,1,,v New Zealand,Mount Maunganui,11 Feb 2020,ODI # 4243
249,21,-,21,2,1,100.00,3,caught,2,,v Australia,Sydney,27 Nov 2020,ODI # 4265
250,89,-,87,7,2,102.29,3,caught,2,,v Australia,Sydney,29 Nov 2020,ODI # 4266
251,63,-,78,5,0,80.76,3,caught,1,,v Australia,Canberra,2 Dec 2020,ODI # 4267
252,56,65,60,6,0,93.33,3,caught,1,,v England,Pune,23 Mar 2021,ODI # 4281
253,66,110,79,3,1,83.54,3,caught,1,,v England,Pune,26 Mar 2021,ODI # 4283
254,7,14,10,1,0,70.00,3,bowled,1,,v England,Pune,28 Mar 2021,ODI # 4284
255,51,79,63,3,0,80.95,3,caught,2,,v South Africa,Paarl,19 Jan 2022,ODI # 4344
256,0,4,5,0,0,0.00,3,caught,1,,v South Africa,Paarl,21 Jan 2022,ODI # 4346
257,65,112,84,5,0,77.38,3,caught,2,,v South Africa,Cape Town,23 Jan 2022,ODI # 4349
